STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DEWP,DEWP_ATTRIBUTES,FRSHTT,FRSHTT_ATTRIBUTES,GUST,GUST_ATTRIBUTES,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,MXSPD,MXSPD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,SNDP,SNDP_ATTRIBUTES,STP,STP_ATTRIBUTES,TEMP,TEMP_ATTRIBUTES
99495199999,"SEBASTIAN INLET STATE PARK, FL US",27.862,-80.445,10.0,2015-01-01,9999.9, 0,000000,,999.9,,  72.5,*,  69.8,*, 15.9,, 0.00,I,1023.0,24,999.9,,999.9, 0,  71.3,24
99495199999,"SEBASTIAN INLET STATE PARK, FL US",27.862,-80.445,10.0,2015-01-02,9999.9, 0,000000,,999.9,,  72.9,*,  68.5,*, 11.1,, 0.00,I,1023.7,24,999.9,,999.9, 0,  70.4,24
99495199999,"SEBASTIAN INLET STATE PARK, FL US",27.862,-80.445,10.0,2015-01-03,9999.9, 0,000000,,999.9,,  75.4,*,  72.7,*, 15.0,, 0.00,I,1023.9,24,999.9,,999.9, 0,  74.3,24
99495199999,"SEBASTIAN INLET STATE PARK, FL US",27.862,-80.445,10.0,2015-01-04,9999.9, 0,000000,,999.9,,  82.0,*,  72.5,*, 15.0,, 0.00,I,1024.0,24,999.9,,999.9, 0,  75.8,24
99495199999,"SEBASTIAN INLET STATE PARK, FL US",27.862,-80.445,10.0,2015-01-05,9999.9, 0,000000,,999.9,,  75.6,*,  66.4,*, 22.0,, 0.00,I,1026.4,24,999.9,,999.9, 0,  70.3,24
99495199999,"SEBASTIAN INLET STATE PARK, FL US",27.862,-80.445,10.0,2015-01-06,9999.9, 0,000000,,999.9,,  78.1,*,  66.9,*, 17.1,, 0.00,I,1026.4,24,999.9,,999.9, 0,  72.0,24
99495199999,"SEBASTIAN INLET STATE PARK, FL US",27.862,-80.445,10.0,2015-01-07,9999.9, 0,000000,,999.9,,  72.7,*,  57.9,*, 13.0,, 0.00,I,1022.7,24,999.9,,999.9, 0,  64.9,24
99495199999,"SEBASTIAN INLET STATE PARK, FL US",27.862,-80.445,10.0,2015-01-08,9999.9, 0,000000,,999.9,,  63.7,*,  47.5,*, 33.0,, 0.00,I,1024.8,24,999.9,,999.9, 0,  58.7,24
99495199999,"SEBASTIAN INLET STATE PARK, FL US",27.862,-80.445,10.0,2015-01-09,9999.9, 0,000000,,999.9,,  67.3,*,  56.3,*, 20.0,, 0.00,I,1024.6,24,999.9,,999.9, 0,  62.6,24
99495199999,"SEBASTIAN INLET STATE PARK, FL US",27.862,-80.445,10.0,2015-01-10,9999.9, 0,000000,,999.9,,  68.5,*,  52.2,*, 19.0,, 0.00,I,1026.6,24,999.9,,999.9, 0,  59.2,24
99495199999,"SEBASTIAN INLET STATE PARK, FL US",27.862,-80.445,10.0,2015-01-11,9999.9, 0,000000,,999.9,,  71.8,*,  67.1,*, 14.0,, 0.00,I,1026.7,24,999.9,,999.9, 0,  69.9,24
99495199999,"SEBASTIAN INLET STATE PARK, FL US",27.862,-80.445,10.0,2015-01-12,9999.9, 0,000000,,999.9,,  72.0,*,  69.3,*, 14.0,, 0.00,I,1023.7,24,999.9,,999.9, 0,  70.9,24
99495199999,"SEBASTIAN INLET STATE PARK, FL US",27.862,-80.445,10.0,2015-01-13,9999.9, 0,000000,,999.9,,  70.0,*,  64.8,*, 29.9,, 0.00,I,1020.0,24,999.9,,999.9, 0,  67.5,24
99495199999,"SEBASTIAN INLET STATE PARK, FL US",27.862,-80.445,10.0,2015-01-14,9999.9, 0,000000,,999.9,,  66.6,*,  61.7,*, 22.9,, 0.00,I,1019.1,24,999.9,,999.9, 0,  64.6,24
99495199999,"SEBASTIAN INLET STATE PARK, FL US",27.862,-80.445,10.0,2015-01-15,9999.9, 0,000000,,999.9,,  64.0,*,  59.4,*, 22.0,, 0.00,I,1019.5,24,999.9,,999.9, 0,  61.1,24
99495199999,"SEBASTIAN INLET STATE PARK, FL US",27.862,-80.445,10.0,2015-01-16,9999.9, 0,000000,,999.9,,  59.9,*,  55.6,*, 22.0,, 0.00,I,1019.2,24,999.9,,999.9, 0,  57.7,24
99495199999,"SEBASTIAN INLET STATE PARK, FL US",27.862,-80.445,10.0,2015-01-17,9999.9, 0,000000,,999.9,,  68.5,*,  54.9,*, 21.0,, 0.00,I,1021.5,24,999.9,,999.9, 0,  60.9,24
99495199999,"SEBASTIAN INLET STATE PARK, FL US",27.862,-80.445,10.0,2015-01-18,9999.9, 0,000000,,999.9,,  67.6,*,  60.8,*, 12.0,, 0.00,I,1020.1,24,999.9,,999.9, 0,  64.5,24
99495199999,"SEBASTIAN INLET STATE PARK, FL US",27.862,-80.445,10.0,2015-01-19,9999.9, 0,000000,,999.9,,  63.9,*,  54.9,*, 17.1,, 0.00,I,1021.8,24,999.9,,999.9, 0,  59.8,24
99495199999,"SEBASTIAN INLET STATE PARK, FL US",27.862,-80.445,10.0,2015-01-20,9999.9, 0,000000,,999.9,,  65.5,*,  59.5,*,  8.9,, 0.00,I,1019.5,24,999.9,,999.9, 0,  62.3,24
99495199999,"SEBASTIAN INLET STATE PARK, FL US",27.862,-80.445,10.0,2015-01-21,9999.9, 0,000000,,999.9,,  66.7,*,  60.3,*,  9.9,, 0.00,I,1018.1,24,999.9,,999.9, 0,  63.5,24
