STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DEWP,DEWP_ATTRIBUTES,FRSHTT,FRSHTT_ATTRIBUTES,GUST,GUST_ATTRIBUTES,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,MXSPD,MXSPD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,SNDP,SNDP_ATTRIBUTES,STP,STP_ATTRIBUTES,TEMP,TEMP_ATTRIBUTES
72429793812,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",39.106,-84.41609,144.8,2020-01-01,  27.9,24,000000,, 24.1,,  48.9, ,  36.0, , 15.0,, 0.00,G,1013.7,21,999.9,,995.6,24,  39.1,24
72429793812,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",39.106,-84.41609,144.8,2020-01-02,  30.8,24,010000,, 17.1,,  51.1, ,  27.0, , 13.0,, 0.00,G,1010.4,21,999.9,,992.1,24,  40.3,24
72429793812,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",39.106,-84.41609,144.8,2020-01-03,  49.5,24,010000,,999.9,,  54.0,*,  46.4,*,  7.0,, 0.64,G,1008.2,14,999.9,,989.9,24,  50.2,24
72429793812,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",39.106,-84.41609,144.8,2020-01-04,  40.9,24,011000,, 21.0,,  51.1,*,  35.6,*, 13.0,, 0.53,G,1012.0,11,999.9,,993.0,24,  43.6,24
72429793812,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",39.106,-84.41609,144.8,2020-01-05,  27.5,24,000000,, 24.1,,  48.0, ,  30.0, , 15.9,, 0.08,G,1020.6,19,999.9,,003.1,24,  37.3,24
72429793812,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",39.106,-84.41609,144.8,2020-01-06,  27.2,24,000000,, 22.0,,  48.0, ,  28.0, , 13.0,, 0.00,G,1021.3,23,999.9,,002.9,24,  39.2,24
72429793812,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",39.106,-84.41609,144.8,2020-01-07,  24.4,24,000000,, 22.0,,  50.0, ,  26.1, , 17.1,, 0.00,G,1018.1,24,999.9,,999.8,24,  35.7,24
72429793812,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",39.106,-84.41609,144.8,2020-01-08,  19.2,24,000000,, 21.0,,  50.0, ,  27.0, , 14.0,, 0.00,G,1024.8,24,999.9,,006.4,24,  37.7,24
72429793812,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",39.106,-84.41609,144.8,2020-01-09,  22.3,24,000000,, 20.0,,  60.1, ,  21.9, , 15.9,, 0.00,G,1030.1,24,999.9,,011.5,24,  36.1,24
72429793812,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",39.106,-84.41609,144.8,2020-01-10,  43.3,24,010000,, 24.1,,  62.1,*,  48.9,*, 15.0,, 0.01,G,1023.5,24,999.9,,005.3,24,  54.5,24
